City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
152,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,39 On Nile Guest House
153,Tiksi,RU,51.33,scattered clouds,71.6872,128.8694,Arktika
154,Bethel,US,82.15,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
155,Atuona,PF,77.68,few clouds,-9.8,-139.0333,Villa Enata
157,Port Hawkesbury,CA,76.8,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
158,Clyde River,CA,41.23,overcast clouds,70.4692,-68.5914,Qamaq Hotel
159,Cadereyta,MX,93.18,overcast clouds,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
160,Qaanaaq,GL,43.12,clear sky,77.484,-69.3632,Qaanaaq Hotel
162,Nikolskoye,RU,61.81,broken clouds,59.7035,30.7861,Tourist House - Sablino
163,Hithadhoo,MV,82.42,few clouds,-0.6,73.0833,Scoop Guest House
164,Leningradskiy,RU,34.34,overcast clouds,69.3833,178.4167,Gostinitsa
165,Hwange,ZW,60.57,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
166,Finnsnes,NO,49.75,overcast clouds,69.2296,17.9811,Finnsnes Hotel - A SNR Hotel
167,Upernavik,GL,39.33,scattered clouds,72.7868,-56.1549,Café de Upernavik
168,Bredasdorp,ZA,46.9,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
169,Comodoro Rivadavia,AR,40.86,broken clouds,-45.8667,-67.5,Austral Hotel
170,Sao Joao Do Paraiso,BR,58.93,broken clouds,-15.3136,-42.0144,Avenida Palace Hotel
171,Srandakan,ID,71.4,overcast clouds,-7.9386,110.2506,Puri Brata
172,Mount Isa,AU,62.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
173,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
174,Coahuayana,MX,82.98,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
176,Yar-Sale,RU,48.07,broken clouds,66.8333,70.8333,Yalemd
177,Sarh,TD,75.72,light rain,9.1429,18.3923,Domicile 1sur le goudron
178,Springbok,ZA,53.58,clear sky,-29.6643,17.8865,Undulata Country Lodge
180,Kaitangata,NZ,45.52,light rain,-46.2817,169.8464,Kaitangata Motor Camp
181,Tasiilaq,GL,39.51,overcast clouds,65.6145,-37.6368,The Red House
182,Ponta Do Sol,PT,81.23,broken clouds,32.6667,-17.1,Hotel do Campo
183,George,ZA,47.75,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
184,Caravelas,BR,69.48,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
185,Novyy Urengoy,RU,53.1,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
186,Vanimo,PG,81.86,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
187,Rio Gallegos,AR,28.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
188,Victoria,HK,88.97,scattered clouds,22.2855,114.1577,Mini Central
189,Carnarvon,AU,60.71,clear sky,-24.8667,113.6333,Hospitality Carnarvon
190,Alice Springs,AU,53.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
191,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
192,Freeport,US,86.32,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
193,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
194,Paragominas,BR,77.02,overcast clouds,-2.9667,-47.4833,INOVA
195,Monrovia,LR,74.97,clear sky,6.3005,-10.7969,Sunset Inn
197,Santa Quiteria Do Maranhao,BR,77.58,overcast clouds,-3.5156,-42.5467,Hotel Santa Quiteria
198,Kodiak,US,56.35,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
199,Tual,ID,79.52,broken clouds,-5.6667,132.75,Grand Vilia Hotel
200,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
201,Mananjary,MG,64.08,light rain,-21.2167,48.3333,Vahiny Lodge
202,Camapua,BR,74.82,clear sky,-19.5314,-54.0439,Comercial Estrela
203,Turbat,PK,81.27,overcast clouds,26.0023,63.044,Mubashar Quarters
204,Sao Joao Do Piaui,BR,77.52,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
