City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Kashi,CN,39.4547,75.9797,83.41,21,0,6.71,clear sky
151,Bathsheba,BB,13.2167,-59.5167,81.21,94,40,12.66,scattered clouds
152,Port Elizabeth,ZA,-33.918,25.5701,57.49,80,0,13.8,clear sky
153,Tiksi,RU,71.6872,128.8694,51.33,81,44,6.08,scattered clouds
154,Bethel,US,41.3712,-73.414,82.15,86,65,4.54,broken clouds
155,Atuona,PF,-9.8,-139.0333,77.68,66,18,10.47,few clouds
156,Ossora,RU,59.2353,163.0719,61.99,64,84,6.11,broken clouds
157,Port Hawkesbury,CA,45.6169,-61.3485,76.8,86,20,7.0,few clouds
158,Clyde River,CA,70.4692,-68.5914,41.23,93,100,6.91,overcast clouds
159,Cadereyta,MX,25.5833,-99.9833,93.18,25,99,22.08,overcast clouds
160,Qaanaaq,GL,77.484,-69.3632,43.12,66,5,0.85,clear sky
161,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,61.93,97,70,3.58,broken clouds
162,Nikolskoye,RU,59.7035,30.7861,61.81,92,68,2.46,broken clouds
163,Hithadhoo,MV,-0.6,73.0833,82.42,76,19,12.41,few clouds
164,Leningradskiy,RU,69.3833,178.4167,34.34,90,100,6.11,overcast clouds
165,Hwange,ZW,-18.3693,26.5019,60.57,47,5,3.69,clear sky
166,Finnsnes,NO,69.2296,17.9811,49.75,87,98,4.29,overcast clouds
167,Upernavik,GL,72.7868,-56.1549,39.33,91,44,10.83,scattered clouds
168,Bredasdorp,ZA,-34.5322,20.0403,46.9,67,0,4.56,clear sky
169,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,81,75,3.44,broken clouds
170,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,58.93,78,79,4.56,broken clouds
171,Srandakan,ID,-7.9386,110.2506,71.4,83,90,3.6,overcast clouds
172,Mount Isa,AU,-20.7333,139.5,62.37,48,0,19.57,clear sky
173,San Cristobal,VE,7.7669,-72.225,77.18,98,50,2.1,scattered clouds
174,Coahuayana,MX,18.7333,-103.6833,82.98,77,100,1.81,overcast clouds
175,Tilichiki,RU,60.4667,166.1,59.05,59,97,5.01,overcast clouds
176,Yar-Sale,RU,66.8333,70.8333,48.07,81,54,15.68,broken clouds
177,Sarh,TD,9.1429,18.3923,75.72,88,77,1.03,light rain
178,Springbok,ZA,-29.6643,17.8865,53.58,34,0,5.5,clear sky
179,Srednekolymsk,RU,67.45,153.6833,59.07,38,95,13.11,overcast clouds
180,Kaitangata,NZ,-46.2817,169.8464,45.52,92,100,17.58,light rain
181,Tasiilaq,GL,65.6145,-37.6368,39.51,89,100,2.46,overcast clouds
182,Ponta Do Sol,PT,32.6667,-17.1,81.23,49,59,5.46,broken clouds
183,George,ZA,-33.963,22.4617,47.75,71,0,3.44,clear sky
184,Caravelas,BR,-17.7125,-39.2481,69.48,88,56,5.28,broken clouds
185,Novyy Urengoy,RU,66.0833,76.6333,53.1,68,100,8.66,overcast clouds
186,Vanimo,PG,-2.6741,141.3028,81.86,78,78,7.45,broken clouds
187,Rio Gallegos,AR,-51.6226,-69.2181,28.45,86,0,11.5,clear sky
188,Victoria,HK,22.2855,114.1577,88.97,76,49,8.99,scattered clouds
189,Carnarvon,AU,-24.8667,113.6333,60.71,42,0,8.72,clear sky
190,Alice Springs,AU,-23.7,133.8833,53.15,54,0,17.27,clear sky
191,Lorengau,PG,-2.0226,147.2712,81.9,80,94,7.74,overcast clouds
192,Freeport,US,40.6576,-73.5832,86.32,73,96,4.0,overcast clouds
193,Komsomolskiy,UZ,40.4272,71.7189,79.52,34,0,6.91,clear sky
194,Paragominas,BR,-2.9667,-47.4833,77.02,70,98,4.23,overcast clouds
195,Monrovia,LR,6.3005,-10.7969,74.97,75,3,4.88,clear sky
196,Luderitz,NA,-26.6481,15.1594,55.6,84,33,11.18,scattered clouds
197,Santa Quiteria Do Maranhao,BR,-3.5156,-42.5467,77.58,74,99,3.8,overcast clouds
198,Kodiak,US,57.79,-152.4072,56.35,73,96,3.22,overcast clouds
199,Tual,ID,-5.6667,132.75,79.52,84,52,21.36,broken clouds
200,Katsuura,JP,35.1333,140.3,80.62,88,96,19.26,overcast clouds
201,Mananjary,MG,-21.2167,48.3333,64.08,93,32,2.59,light rain
202,Camapua,BR,-19.5314,-54.0439,74.82,34,0,6.76,clear sky
203,Turbat,PK,26.0023,63.044,81.27,84,97,11.12,overcast clouds
204,Sao Joao Do Piaui,BR,-8.3581,-42.2467,77.52,38,100,8.23,overcast clouds
205,Ciro Marina,IT,39.3732,17.126,82.49,57,0,5.48,clear sky
206,Pangnirtung,CA,66.1451,-65.7125,51.4,67,28,2.84,scattered clouds
207,Vostok,RU,46.4856,135.8833,65.68,89,44,2.26,scattered clouds
208,Gravdal,NO,68.1214,13.5031,55.72,87,73,9.84,broken clouds
209,Ancud,CL,-41.8697,-73.8203,46.04,93,100,7.56,light rain
210,Samur,RU,41.8253,48.486,72.1,56,0,6.71,clear sky
211,Puerto Suarez,BO,-18.95,-57.8,78.28,34,9,2.59,clear sky
212,Fort Nelson,CA,58.8053,-122.7002,74.79,41,75,6.91,broken clouds
213,Nemuro,JP,43.3236,145.575,64.89,85,6,4.94,clear sky
214,Guilin,CN,25.2819,110.2864,77.11,77,0,1.97,clear sky
215,Mount Gambier,AU,-37.8333,140.7667,51.69,60,81,14.2,broken clouds
216,Bozeman,US,45.6796,-111.0386,82.67,33,93,1.99,overcast clouds
217,Cayenne,GF,4.9333,-52.3333,83.08,3,0,2.3,clear sky
218,Cortez,US,37.3489,-108.5859,85.26,26,42,4.47,scattered clouds
